Scientific Name,Family ,Local Name,Disease used on ,Parts used,Preparation and Administration,Quality of Dosage ,Administration Frequency,Experienced adverse or side effects,Literature taken from,Page where the data can be found on the literature
Spondias pinnata (L.f.) Kurz,Anacardiaceae,Abihid,Colds; diabetes; cough; fever,"Bark , Leaf",Drink decoction of leaves and scraped bark,3–5 glasses,Once or twice a day for 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
Spondias pinnata (L.f.) Kurz,Anacardiaceae,Abihid,Colds; fever,"Bark , Leaf",Bath water-infused leaves and scraped bark,1 pail,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
Annona muricata L.,Annonaceae,Guyabano,Cancer; diabetes; hypertension; dysentery,Fruit,Eat fresh fruit directly,3–5 glasses,Once or twice a week or as needed,In excess can cause blood viscosity,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
Annona muricata L.,Annonaceae,Guyabano,"Ascariasis; cough; stomach trouble, stomach acidity; urination difficulty, urinary tract infection",Leaf,Drink decoction,3–5 glasses,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
Annona muricata L.,Annonaceae,Guyabano,"Skin eruptions, eczema","Leaf, Sap",Apply leaf sap or crushed leaves as poultice,3–5 leaves,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
Cananga odorata (Lam.) Hook.f. & Thomson,Annonaceae,Anangilan or Ilang-ilang,"Colds; cough; stomach trouble, ulcer; fever, body chills","Bark , Leaf",Drink decoction,5–7 glasses,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
Cananga odorata (Lam.) Hook.f. & Thomson,Annonaceae,Anangilan or Ilang-ilang,"Scabies, athlete's foot; pimple;
rheumatism,
swollen muscles
or swellings,
muscle pain;
insect bites",Flower,Apply oil from steamed flowers,Completely on affected part,3–5 times a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 12
Friesodielsia lanceolata (Merr.) Steen.,Annonaceae,Talimughat taas,"Muscle pain; labor and delivery enhancer, postpartum care and recovery; backache, body ache, weakness and fatigue, cramp and spasm, relapse","Bark, Leaf, Root",Drink decoction,3–5 glasses,Once to thrice a day up to 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 13
Uvaria zschokkei Elme,Annonaceae,Bigo,"Amoebiasis; hypertension; fever, weakness and fatigue",Stem,Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 13
Uvaria zschokkei Elme,Annonaceae,Bigo,Hair loss; insect bites,"Stem, Sap",Apply stem sap,1/2–1 cup,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 13
Alstonia macrophylla Wall. ex G.Don,Apocynaceae,Dita,"Tonic; ear congestion; cough; stomach trouble, toothache; urinary tract infection; abdominal pain, weakness and fatigue, hangover","Bark , Leaf",Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 13
Alstonia macrophylla Wall. ex G.Don,Apocynaceae,Dita,"Cuts and wounds, bruises and contusions, sprain",Leaf,Apply crushed and heated leaves as poultice,3–5 leaves,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 13
Alstonia macrophylla Wall. ex G.Don,Apocynaceae,Dita,"Scabies, impetigo, ringworm; boils",Bark,Apply waterinfused powdered bark,1 glass,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 13
Alstonia macrophylla Wall. ex G.Don,Apocynaceae,Dita,"Stomachache, snake bite",Bark,Drink local alcoholtinctured bark,1/2 to 1 glass,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 13
Anodendron borneense (King & Gamble) D.J.Middleton,Apocynaceae,Lunas tag-uli," Cancer; diabetes; ear infections; diarrhea, stomach trouble, ulcer, toothache; arthritis, rheumatism; pregnancy; body ache, weakness and fatigue, cramp and spasm, relapse; poisoning","Sap, Stem",Drink stem sap,1–3 glasses,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 14
Anodendron borneense (King & Gamble) D.J.Middleton,Apocynaceae,Lunas tag-uli,"Colon and prostate cancer, cyst, tumor; diabetes; hypertension; pulmonary tuberculosis; diarrhea, stomach trouble, ulcer, toothache, swollen gums; arthritis, rheumatism; impotence and sterility, postpartum care and recovery; body ache, weakness and fatigue, cramp and spasm, relapse, gas pain, and flatulence; sprain; poisoning",Stem,Drink local alcoholtinctured or decocted stem,1/2 to 1 glass,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 14
Anodendron borneense (King & Gamble) D.J.Middleton,Apocynaceae,Lunas tag-uli,"Scabies, warts, impetigo, typhoid fever; boils, skin eruptions, skin rashes, and itchiness; arthritis, rheumatism, swellings, muscle pain; backache, body ache, weakness and fatigue, cramp
and spasm,
relapse gas pain
and flatulence; allergy, burns, cuts and wounds, sprain, animal and insect bites, contacts with plants and animal parts",Stem,Apply coconut or Efficascent oil-infused stem,Completely on affected part,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 14
Hoya imbricata Decne.,Apocynaceae,Pikot-pikot,Boils; cuts and wounds,Leaf,Apply coconut oil-infused burned and powdered leaves,Completely on affected part,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 15
Alocasia zebrina Schott ex Van Houtte,Araceae,Lunas gabi,"Allergy, cuts and wounds, snake and insect bite, poisoning","Leaf, Sap, Stem",Apply stem or leaf sap,Completely on affected part,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 15
Homalomena philippinensis Engl. ex Engl. & K.Krause,Araceae,Payaw,"Colds; body ache, headache, fever","Leaf, Stem",Sniff sliced and pounded leaf and stem or tie leaf and stem around the neck,1–3 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 15
Homalomena philippinensis Engl. ex Engl. & K.Krause,Araceae,Payaw,"Tonsillitis; pregnancy, impotence and sterility, labor and delivery enhancer",Rhizome,Drink extracted juice from crushed rhizome,1–3 cups,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 15
Homalomena philippinensis Engl. ex Engl. & K.Krause,Araceae,Payaw,Rheumatism; cuts and wounds,Rhizome,Apply extracted juice from crushed rhizome,Completely on affected part,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 15
Homalomena philippinensis Engl. ex Engl. & K.Krause,Araceae,Payaw,Hemorrhoids,Leaf,Insert heated young leaf,1 leaf,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 15
Hydrocotyle vulgaris L.,Araliaceae,Goto Kola,Diabetes; hypertension; fever,Leaf,"Eat fresh leaves  directly or drink
decocted leaves",3–5 leaves; 1 cup,Once a day or as needed,"In excess can cause anemia, dizziness and
weakening","""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 15
Hydrocotyle vulgaris L.,Araliaceae,Goto Kola,Cuts and wounds,"Leaf, Sap",Apply leaf sap or crushed leaves as poultice,1–3 leaves,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 16
Areca catechu L,Arecaceae,Huling-huling,Breast cancer,Root,Drink decoction,3–5 glasses,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 16
Calamus megaphyllus Becc,Arecaceae,Kapi,"Hypertension; asthma; diarrhea, dyspepsia, gastritis, indigestion; arthritis, rheumatism",Rhizome,Drink decoction,3–5 glasses,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 16
Thottea affinis (Planch. ex Rolfe) ined.,Aristolochiaceae,Salimbagat,Amoebiasis; cancer; toothache,"Leaf, Root",Drink decoction,3–5 glasses,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 16
Dracaena roxburghiana (Schult.f.) Byng & Christenh.,Asparagaceae,Espada-espada,Boils; snake bite,Leaf,Apply leaf sap or pounded leaves as poultice,5–7 drops,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 16
Acmella grandiflora (Turcz.) R.K.Jansen,Asteraceae,Lunas pilipo,Toothache; anesthetic,Flower,Apply fresh flower directly,1–3 flowers,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 16
Ageratum conyzoidesL.,Asteraceae,Albahaca,Abortifacient; weaknessand fatigue,Leaf,Drink decoction,1–3cups, Once a day or as needed,Cancause abortionin pregnantwomen,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 16
Ageratum conyzoidesL.,Asteraceae,Albahaca,Cutsandwounds,Leaf,Apply pounded leavesas poultice,1–3leaves,Once or  twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 16
ArtemisiavulgarisL.,Asteraceae,Helbas,"Asthma,cough,  coughwith
 phlegm;diarrhea,
 dyspepsia;
 delayed
 menstruation;
 relapse",Leaf,Drink decoction,1–3glasses,Thrice a day or as needed,"causeanemia, dizzinessand weakening","""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 16
ArtemisiavulgarisL.,Asteraceae,Helbas,"Abdominalpain, bodyache, fever, cramp,andspasm",Leaf,Apply crushed leavesas poultice,3–5leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 17
BidenspilosaL.,Asteraceae,Tuway-tuway,"Colds;diarrhea; musclepain; backache,body ache, fever, weaknessand fatigue, cramp andspasm, relapse,gaspain, andflatulence",Root,Drink decoction,3–5glasses,Once or twice a day up to 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 17
BidenspilosaL.,Asteraceae,Tuway-tuway,"Cuts and wounds, animal and insect bites",Leaf,Apply crushed leaves as poultice,3–5 leaves,"Once to thrice
a day or as needed",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 17
Blumea balsamifera (L.) DC.,Asteraceae,Gabon,"Hypertension; cough, cough with phlegm; urination difficulty; postpartum care and recovery; body ache, headache, fever, weakness and fatigue, gas pain and flatulence","Leaf, Root ",Drink decoction,3–5 glasses ,"Once or twice
a day for 3 days or as needed",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 17
Blumea balsamifera (L.) DC.,Asteraceae,Gabon,Headache,Leaf,Apply steamed or pounded leaves in the forehead,1–3 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 17
Blumea balsamifera (L.) DC.,Asteraceae,Gabon,"Boils, skin rashes",Leaf,Apply leaves as poultice,1–3 leaves,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 17
Chromolaena odorata (L.) R.M.King & H.Rob.,Asteraceae,Hagonoy,Tumor; hemorrhage; fever,Leaf,Drink decoction,3–5 glasses,Once a day for 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 17
Chromolaena odorata (L.) R.M.King & H.Rob.,Asteraceae,Hagonoy,"Boils; burns, cuts, and wounds",Leaf,Apply leaf sap or crushed leaves as poultice,3–5 leaves,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 18
Cyanthillium cinereum (L.) H.Rob.,Asteraceae,Kanding- kanding,"Colds, malaria; pulmonary tuberculosis; dog bite","Leaf, Root",Drink decoction,3–5 glasses  ,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 18
Cyanthillium cinereum (L.) H.Rob.,Asteraceae,Kanding- kanding,"Chicken pox, herpes simplex, measles; boils, skin eruptions, skin rashes and itchiness; weakness and fatigue, cramp and spasm","Flower, Leaf, Root
 ",Bath water- infused leaves and roots or burn leaves and roots as incense,"1 pail as bath or 1 bowl as incense
 ",Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 18
 Erechtites valerianifolius (Link ex Spreng.) DC.,Asteraceae,Gapas-gapas bae,"Stomachache, dyspepsia; body ache, headache, gas pain, and flatulence",Leaf,Drink decoction,3–5 glasses,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 18
Gynura procumbens (Lour.) Merr,Asteraceae,Ashitaba,"Emphysema,
cough; diarrhea, stomach trouble; kidney stones; abdominal pain",Leaf,Drink brewed tea- prepared leaves or decoction,3–5 cups,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 18
Mikaniacordata (Burm.f.)B.L.Rob,Asteraceae,Moti-moti,Cough;ulcer,Leaf,Drink decoction,3–5glasses,"Twice a day or
as needed",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 18
Mikaniacordata (Burm.f.)B.L.Rob,Asteraceae,Moti-moti,Sore eyes,"Leaf, Sap ",Drop leaf sap,Completely on affected part,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 18
Mikaniacordata (Burm.f.)B.L.Rob,Asteraceae,Moti-moti,"Skin rashes and itchiness; cuts and wounds, snake and scorpion bites; circumcision antiseptic",Leaf,Apply leaf sap or crushed leaves as poultice,5–7 leaves,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 18
Pseudelephantopus spicatus (Juss.) Rohr,Asteraceae,Kukog banog ,"Urination difficulty, kidney problem, urinary bladder swelling, delayed menstruation, urinary tract infection; fever, weakness and fatigue, cramp and spasm","Leaf, Root ","Drink brewed tea- prepared leaves or decoction
 ",3–5 glasses ,"Once a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 19
Pseudelephantopus spicatus (Juss.) Rohr,Asteraceae,Kukog banog ,"Sore eyes; eczema, skin rashes, and itchiness; cuts and wounds, sprain, snake bite","Leaf, Sap ","Apply drops of leaf sap
 ",Completely on affected part,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 19
 Diplazium esculentum (Retz.) Sw.,Athyriaceae,Pako-pako,"Colds; cough; diarrhea, dysentery; labor and delivery enhancer, postpartum care and recovery; body ache, headache, fever",Shoot,Drink decoction,3–5 glasses,"Twice a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 19
Begonia contracta Warb.,Begoniaceae,Budag-budag ,"Pimple, dandruff;
burns","Flower, Leaf ",Apply crushed flower and leaves as poultice,"1–3 flowers, 1–3 leaves",Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 19
Ceiba pentandra (L.) Gaertn.,Bombacaceae,Doldol,"Diabetes; pulmonary tuberculosis; diarrhea, dysentery; rheumatism, swollen muscles; snake bite","Bark, Root",Drink decoction,3–5 glasses,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 19
Ehretia microphylla Lam.,Boraginaceae,"Alangitngit or
Tsaang-Gubat",Diabetes; nervous breakdown; stomach acidity; food and drug allergy,Leaf,Drink tea- prepared leaves,1/2 to 1 cup ,Once a day for 3 days or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 19
Ananas comosus (L.) Merr.,Bromeliaceae,Pinya,"Ascariasis, amoebiasis; cancer; diabetes; hypertension; constipation, stomach acidity",Fruit,Eat fresh fruit directly,1–3 slices,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 20
Ananas comosus (L.) Merr.,Bromeliaceae,Pinya,"Headache, fever, weakness, and fatigue","Leaf, Shoot",Apply crushed shoot or leaves as poultice,Completely on affected part,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 20
Ananas comosus (L.) Merr.,Bromeliaceae,Pinya,Cancer; swellings,Leaf,Drink decoction or apply decocted leaves,3–5 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 20
 Abroma augusta (L.) L.f.,Byttneriaceae,Samboligawn,"Diabetes, tonic; bronchitis; stomachache; dysmenorrhea, irregular menstruation; sterility","Bark, Leaf, Root",Drink decoction,3–5 glasses ,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 20
 Abroma augusta (L.) L.f.,Byttneriaceae,Samboligawn,"Scabies; boils, skin eruptions, dermatitis; cuts and wounds","Bark, Leaf ",Apply decoction as wash,1–3 glasses ,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 20
Kleinhovia hospita L.,Byttneriaceae,Bitan-ag,"Tumor; asthma, pneumonia, cough; dyspepsia, liver problem; headache; baby teething",Leaf,"Drink decoction
 ",3–5 glasses  ,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 20
Kleinhovia hospita L.,Byttneriaceae,Bitan-ag,Scabies; psoriasis,Leaf,Apply crushed leaves as poultice,3–5 leaves,"Once to thrice a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 20
"Melochia umbellata
(Houtt.) Stapf",Byttneriaceae,Banitlong,"Rheumatism; backache, body ache, headache",Leaf,"Drink decoction
",3–5 glasses  ,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 20
"Melochia umbellata
(Houtt.) Stapf",Byttneriaceae,Banitlong,Canker sore; burns,Leaf,Apply leaves as poultice,3–5 leaves,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 20
Hippobroma longiflora (L.) G.Don,Campanulaceae,Elepanteng puti,Toothache,Leaf,Apply chewed or pounded leaves,1–3 leaves,Once or twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
Hippobroma longiflora (L.) G.Don,Campanulaceae,Elepanteng puti,"Nervous breakdown; asthma, bronchitis; fever",Leaf,Drink decoction,3–5 glasses  ,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
Hippobroma longiflora (L.) G.Don,Campanulaceae,Elepanteng puti,Cuts and wounds ,Leaf,Apply decoction,1 glass,As needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
Carica papaya L.,Caricaceae,Kapayas laki,"Constipation, dyspepsia; milk production enhancer",Fruit,Eat fresh fruit directly,1–3 slices,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
Carica papaya L.,Caricaceae,Kapayas laki,Tonic; asthma; stomach problem,"Leaf, Root",Drink decoction,3–5 glasses ,Once a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
Carica papaya L.,Caricaceae,Kapayas laki,Dengue fever,"Leaf, Sap ",Drink leaf sap,5–7 leaves,Thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
Carica papaya L.,Caricaceae,Kapayas laki,"Body ache, fever, cramp, and spasm",Leaf,Apply crushed and heated leaves as poultice,1–3 leaves,Twice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
Cratoxylum sumatranum (Jack) Blume,Clusiaceae/ Guttiferae,Bansilay,"Colds; cough; dysentery
 ","Bark, Leaf, Root",Drink decoction,3–5 glasses  ,Once to thrice a day or as needed,,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
Cratoxylum sumatranum (Jack) Blume,Clusiaceae/ Guttiferae,Bansilay,Toothache,Leaf,Apply chewed or pounded leaves,3–5 leaves,"Once to thrice a day or as needed
 ",,"""Quantitative ethnopharmacological documentation and molecular confirmation of medicinal plants used by the Manobo tribe of Agusan del Sur, Philippines""",Page: 21
